external_data,Category1
moebel_872,Heimtextilien
moebel_871,Heimtextilien
moebel_513,Heimtextilien
moebel_900,Heimtextilien
moebel_1116,Heimtextilien
moebel_878,Heimtextilien
moebel_879,Heimtextilien
moebel_305,Heimtextilien
moebel_877,Heimtextilien
moebel_880,Heimtextilien
moebel_891,Heimtextilien
moebel_881,Heimtextilien
moebel_894,Heimtextilien
moebel_657,Heimtextilien
moebel_1217,Heimtextilien
moebel_1214,Heimtextilien
moebel_1215,Heimtextilien
moebel_1216,Heimtextilien
moebel_24,Kinder
moebel_9086,Kinder
moebel_9087,Kinder
moebel_9088,Kinder
moebel_201,Kinder
moebel_214,Kinder
moebel_233,Kinder
moebel_629,Kinder
moebel_4058,Kinder
moebel_157,Kinder
moebel_745,Kinder
moebel_213,Kinder
moebel_596,Kinder
moebel_9062,Kinder
moebel_746,Kinder
moebel_613,Kinder
moebel_615,Kinder
moebel_9085,Kinder
moebel_63,Kinder
moebel_72,Kinder
moebel_67,Kinder
moebel_597,Kinder
moebel_70,Kinder
moebel_66,Kinder
moebel_71,Kinder
moebel_69,Kinder
moebel_68,Kinder
moebel_203,Kinder
moebel_256,Kinder
moebel_255,Kinder
moebel_254,Kinder
moebel_202,Kinder
moebel_251,Kinder
moebel_253,Kinder
moebel_270,Kinder
moebel_9090,Kinder
moebel_9095,Kinder
moebel_9098,Kinder
moebel_9099,Kinder
moebel_204,Kinder
moebel_200,Kinder
moebel_207,Kinder
moebel_771,Kinder
moebel_767,Kinder
moebel_768,Kinder
moebel_765,Kinder
moebel_766,Kinder
moebel_769,Kinder
moebel_687,Kinder
moebel_303,Kinder
moebel_299,Kinder
moebel_772,Kinder
moebel_614,Kinder
moebel_770,Kinder
moebel_208,Kinder
moebel_644,Kinder
moebel_9079,Kinder
moebel_311,Kinder
moebel_902,Kinder
moebel_310,Kinder
moebel_305,Kinder
moebel_9077,Kinder
moebel_9082,Kinder
moebel_9083,Kinder
moebel_9084,Kinder
moebel_25,Küche & Esszimmer
moebel_638,Küche & Esszimmer
moebel_1266,Küche & Esszimmer
